title,governorate,city,maker,model,model_year,mileage,car_type,price,minimum_down_payment,link
OPEL GRAND LAND TOP LINE 2021 WAKEL KM 80000 فابريكه صيانات,Eastern,Zagazig,OPEL,Grand Land,2021,80000.0,Automatic,1450000.0,290000.0,https://contactcars.com/en/used-cars/opel-grand_land/7bbca96f1ff1?status=Used?dealer=1519520
Extremely good mint condition,Giza,Agouza,Audi,A4,2019,15000.0,Automatic,2300000.0,460000.0,https://contactcars.com/en/used-cars/audi-a4/e040e4b17f31?status=Used
لادا جرانتا فبريكا بالكامل,Giza,6th of October,Lada,Granta,2020,105000.0,Manual,380000.0,,https://contactcars.com/en/used-cars/lada-granta/f49bb5760cb0?status=Used
Jeep Renegade 2022,Cairo,New Cairo & 5th Settlement,Jeep,Renegade,2022,17500.0,Automatic,1480000.0,296000.0,https://contactcars.com/en/used-cars/jeep-renegade/99b95254b362?status=Used
اوبل كورسا كسر زيرو,Giza,Oasis Road,OPEL,Corsa,2022,40000.0,Automatic,1200000.0,240000.0,https://contactcars.com/en/used-cars/opel-corsa/b61add53c8e9?status=Used
BMW 320i 2023,Giza,Sheikh Zayed,BMW,320i,2023,15000.0,Automatic,1840000.0,,https://contactcars.com/en/used-cars/bmw-320i/2047cdf117a6?status=Used?dealer=1519477
Porsche Macan 2022,Giza,Sheikh Zayed,Porsche,Macan,2022,20000.0,Automatic,1960000.0,,https://contactcars.com/en/used-cars/porsche-macan/75d41eecec26?status=Used?dealer=1519477
چيب رينجيد 2022,Cairo,Nasr City,Jeep,Renegade,2022,30000.0,Automatic,560000.0,,https://contactcars.com/en/used-cars/jeep-renegade/f02411916e9c?status=Used?dealer=1519538
ادفع 125 الف فقط و امتلك نيسان سنترا 2017 فبريكا بالكاااامل,Cairo,Nasr City,Nissan,Sentra,2017,110000.0,Automatic,125000.0,,https://contactcars.com/en/used-cars/nissan-sentra/2836fd6138ae?status=Used?dealer=1519525
لعشاق الانتيك مرسيدس H240,Cairo,Nasr City,Mercedes,E240,2005,250000.0,Automatic,900000.0,,https://contactcars.com/en/used-cars/mercedes-e240/b6ebcec72e74?status=Used?dealer=1519525
سبورت Bmw318i موديل2016 فيس ليفت حاله جيدة,Cairo,Rehab City,BMW,318i,2016,134000.0,Automatic,1160000.0,,https://contactcars.com/en/used-cars/bmw-318i/e3c47e311363?status=Used
نيسان قشقاى اعلى فئه,Cairo,Zamalek,Nissan,Qashqai,2018,105000.0,Automatic,1350000.0,,https://contactcars.com/en/used-cars/nissan-qashqai/c96478385cdd?status=Used
BMW X1 2019 2000cc,Damietta,Damietta,BMW,X1,2019,92000.0,Automatic,2100000.0,,https://contactcars.com/en/used-cars/bmw-x1/4d5cce960345?status=Used
Kia rio 2013,Cairo,Mokattam,Kia,Rio,2013,160000.0,Automatic,600000.0,,https://contactcars.com/en/used-cars/kia-rio/66c869f21e8b?status=Used
